테마분류,코스 아이디,관광지 아이디,지역 아이디,관광지명,경도(도),위도(도),코스순서,이동시간,실내구분,테마명
TH03,180,18006,4831033002,(거제)해금강,128.6735,34.737714,6,8,실외,자연/힐링
TH03,180,18007,4831031005,(거제)외도해상농원,128.71202,34.769069,7,11,실외,자연/힐링
TH05,181,18101,4827035001,(밀양)표충사,128.959754,35.533038,1,0,실외,종교/역사/전통
TH03,181,18102,4833032006,(밀양)사자평,128.999028,35.534789,2,1,실외,자연/힐링
TH03,181,18103,4827035002,(밀양)재약산,128.950411,35.544429,3,2,실외,자연/힐링
TH03,181,18104,4827034002,(밀양)가지산,129.003056,35.621111,4,4,실외,자연/힐링
TH05,181,18105,4833034003,(양산)통도사,129.064256,35.487926,5,5,실외,종교/역사/전통
TH05,181,18106,4825055000,(김해)국립김해박물관,128.873502,35.242827,6,10,실내,종교/역사/전통
TH05,182,18201,4889033001,(합천)해인사,128.098098,35.801178,1,0,실외,종교/역사/전통
TH03,182,18202,4889033001,(합천)가야산,128.117936,35.8221,2,3,실외,자연/힐링
TH03,182,18203,4874025002,(창녕)화왕산,128.560556,35.537222,3,5,실외,자연/힐링
TH03,182,18204,4874042000,(창녕)부곡온천,128.587353,35.439026,4,9,실내,자연/힐링
TH03,183,18301,4886035001,(산청)대원사계곡,127.8077,35.355205,1,0,실외,자연/힐링
TH03,183,18302,4885031004,(하동)삼성궁,127.701606,35.241947,2,1,실외,자연/힐링
TH05,183,18303,4885032001,(하동)평사리 최참판댁,127.688071,35.155594,3,4,실외,종교/역사/전통
TH05,183,18304,4885031002,(하동)쌍계사,127.642691,35.227134,4,7,실외,종교/역사/전통
TH03,183,18305,4885031004,(하동)불일폭포,127.663578,35.237689,5,9,실외,자연/힐링
TH05,183,18306,4885031003,(하동)칠불사,127.607395,35.283396,6,10,실외,종교/역사/전통
TH04,184,18401,4884036000,(남해)스포츠파크,127.83836,34.810064,1,0,실외,캠핑/스포츠
TH03,184,18402,4884035001,(남해)암수바위와 가천마을 다랑이논,127.896602,34.726805,2,1,실외,자연/힐링
TH03,184,18403,4884032001,(남해)노도,127.939206,34.727863,3,3,실외,자연/힐링
TH03,184,18404,4884032000,(남해)상주해수욕장,127.99405,34.735513,4,4,실외,자연/힐링
TH03,184,18405,4884032002,(남해)금산,127.981483,34.756021,5,5,실외,자연/힐링
TH03,184,18406,4884033003,(남해)물건방조어부림과 물미해안,128.05033,34.796027,6,6,실외,자연/힐링
TH03,184,18407,4884033002,(남해)원시어업죽방렴,128.000945,34.830987,7,8,실외,자연/힐링
TH03,184,18408,4884039002,(남해)단항왕후박나무,128.01258,34.916177,8,9,실외,자연/힐링
TH03,184,18409,4824051000,(사천)삼천포항,128.069715,34.926289,9,10,실외,자연/힐링
TH03,184,18410,4824051000,(거제)실안낙조,128.042147,34.939525,10,11,실외,자연/힐링
TH03,185,18501,4812964000,(창원)용원,128.817681,35.109134,1,0,실외,자연/힐링
TH02,185,18502,4822051000,(통영)여객선터미널,128.420156,34.839749,2,2,실외,체험/학습/산업
TH03,185,18503,4831032001,(거제)학동몽돌,128.641499,34.774733,3,6,실외,자연/힐링
TH04,185,18504,4822059000,(통영)마리나리조트,128.440001,34.827698,4,9,실외,캠핑/스포츠
TH03,186,18601,4831033002,(거제)해금강,128.6735,34.737714,1,0,실외,자연/힐링
TH03,186,18602,4831031005,(거제)외도해상농원,128.71202,34.769069,2,0,실외,자연/힐링
TH06,186,18603,4822059000,(통영)재래식 시장,128.433182,34.854423,3,1,실외,쇼핑/놀이
TH05,186,18604,4822036002,(통영)제승당,128.495002,34.811928,4,3,실외,종교/역사/전통
TH03,186,18605,4822036003,(통영)소매물도,128.550566,34.627082,5,5,실외,자연/힐링
TH03,186,18606,4882033002,(고성)상족암 군립공원,128.151119,34.905089,6,7,실외,자연/힐링
TH02,186,18607,4882033001,(고성)공룡박물관,128.148763,34.908209,7,9,실내,체험/학습/산업
TH03,186,18608,4884032000,(남해)상주해수욕장,127.987506,34.722393,8,9,실외,자연/힐링
TH03,186,18609,4884032002,(남해)보리암,127.983025,34.753857,9,11,실외,자연/힐링
TH03,187,18701,4831037002,(거제)대금산 ,128.699496,34.951765,1,0,실외,자연/힐링
TH03,187,18702,4831031005,(거제)지심도,128.750364,34.82192,2,1,실외,자연/힐링
TH03,187,18703,4822025001,(통영)달아공원 ,128.399577,34.769146,3,4,실외,자연/힐링
TH05,187,18704,4822036001,(통영)제승당,128.472291,34.793922,4,7,실외,종교/역사/전통
TH05,187,18705,4822059000,(통영)청마생가,128.435362,34.845269,5,8,실외,종교/역사/전통
TH03,187,18706,4822025000,(통영)산양일주도로,128.39574,34.803488,6,10,실외,자연/힐링
TH02,188,18801,4812155000,(창원)진해군항제,128.683194,35.228302,1,0,실외,체험/학습/산업
TH05,188,18802,4824033001,(사천)선진리성,128.04407,35.043567,2,1,실외,종교/역사/전통
TH03,188,18803,4884038002,(남해)한려수도,127.872788,34.941478,3,4,실외,자연/힐링
TH05,188,18804,4884032002,(남해)보리암,127.983025,34.753857,4,7,실외,종교/역사/전통
TH03,188,18805,4884038002,(남해)남해대교,127.872035,34.944159,5,10,실외,자연/힐링
TH03,189,18901,4812964000,(창원)웅천도요지,128.815568,35.127413,1,0,실외,자연/힐링
TH05,189,18902,4817031000,(진주)진주성,128.076013,35.188478,2,2,실외,종교/역사/전통
TH03,189,18903,4885037000,(하동)백련리도요지,127.882478,35.031181,3,5,실외,자연/힐링
TH05,189,18904,4885031002,(하동)쌍계사/차나무시배지,127.642691,35.227134,4,7,실외,종교/역사/전통
TH03,190,19001,4831031004,(거제)구조라,128.687421,34.814109,1,0,실외,자연/힐링
TH03,190,19002,4831033002,(거제)해금강,128.6735,34.737714,2,1,실외,자연/힐링
TH03,190,19003,4831033001,(거제)여차몽돌,128.625385,34.713879,3,3,실외,자연/힐링
TH03,190,19004,4822059000,(통영)남망산공원,128.428797,34.842404,4,4,실외,자연/힐링
TH03,190,19005,4822036004,(통영)소매물도,128.569921,34.638435,5,7,실외,자연/힐링
TH03,190,19006,4822036003,(통영)등대섬,128.5475,34.620265,6,8,실외,자연/힐링
TH03,190,19007,4884033002,(남해)죽방렴,128.000417,34.832635,7,9,실외,자연/힐링
